trade_date,port_ret,port_nav
2020-01-02,,
2020-01-03,0.0013115915889531397,1.0013115915889532
2020-01-06,-0.005390146555138176,0.9979550968670535
2020-01-07,0.004633181838951627,1.000176178212752
2020-01-08,-0.00897414566391604,0.997880706937322
2020-01-09,0.017261123670734523,1.0017270246147332
2020-01-10,0.001283698916946227,1.0016531233698303
2020-01-13,0.012850513180606224,1.0032451393494763
2020-01-14,-0.008073887679170872,1.0018232274017467
2020-01-15,-0.002039234366900439,1.0013933278121296
2020-01-16,-0.005370606238681033,1.000714869647197
2020-01-17,-4.1549376502518574E-4,1.0006120565383494
2020-01-20,0.011917855220094887,1.0015493622925316
2020-01-21,-0.01797872635485858,1.000033512250491
2020-01-22,0.010004846610654324,1.0007424741706354
2020-01-23,-0.037545741995372105,0.9981431955530761
2020-02-03,-0.08551232227682573,0.992697466380393
2020-02-04,0.030284620164113294,0.9948700183589537
2020-02-05,0.010429081056461943,0.9957280909754478
2020-02-06,0.02552978994507749,0.9972747871391866
2020-02-07,0.0024895610816356626,0.9975348804097782
2020-02-10,0.01375073311010856,0.9983011489510791
2020-02-11,0.004707914778862491,0.998591477301453
2020-02-12,0.008538931091203445,0.9990219280789232
2020-02-13,-0.0029743978455883885,0.9989386680821579
2020-02-14,0.005499908491265105,0.9992002937962743
2020-02-17,0.02753876884728974,1.000275643537772
2020-02-18,0.0024639312598607787,1.0003566059832474
2020-02-19,-5.995119946681519E-4,1.0003224431670616
2020-02-20,0.025119020661456142,1.0011674283968406
2020-02-21,0.00468634517915634,1.0012845268132295
2020-02-24,0.0069041146305253865,1.0014653133562634
2020-02-25,0.003857845231408282,1.0015399935938052
2020-02-26,-0.02107819004456564,1.0008469761100862
2020-02-27,0.0041619853920287,1.0009443200019565
2020-02-28,-0.04063772029939763,0.999731613815744
2020-03-02,0.04428364254787465,1.0009431212261861
2020-03-03,0.00560954674144454,1.0010689556676557
2020-03-04,0.00587350210851336,1.001195096606098
2020-03-05,0.01782540750403949,1.0016181014025587
2020-03-06,-0.016908466939426787,1.001150709224777
2020-03-09,-0.03970092617560815,1.0001339455272549
2020-03-10,0.027356294426100478,1.000773637127214
2020-03-11,-0.016073235481494755,1.000378592253015
2020-03-12,-0.020975836327324398,0.9998881296955751
2020-03-13,-0.010157189736820197,0.9996637966464317
2020-03-16,-0.051652200681411534,0.9985192352024513
2020-03-17,-0.0019139153098433276,0.9985100172771642
2020-03-18,-0.025329883811558096,0.9980074540397791
2020-03-19,-0.00812130573874636,0.9978819995679719
2020-03-20,0.018397293111840185,0.9982882273267363
2020-03-23,-0.04025028015377012,0.9975178951659947
2020-03-24,0.028453779940881066,0.9981039494195989
2020-03-25,0.03036213340612304,0.99870314556005
2020-03-26,-0.011125211217385642,0.9985202542077345
2020-03-27,0.0061028667876914765,0.9986576085066703
2020-03-30,-0.019688421143193555,0.9983270090090784
2020-03-31,-7.914443453149735E-4,0.9983424680351047
2020-04-01,0.0019720898305088923,0.9984049361916454
2020-04-02,0.016930249857437244,0.9987160955629439
2020-04-03,-0.006593048348994989,0.9986273777412291
2020-04-07,0.03069626408031542,0.9991449665422705
2020-04-08,-0.007441791028564448,0.999038382474133
2020-04-09,0.0014771785735290045,0.9990770470986474
2020-04-10,-0.009211769701423898,0.9989470025607144
2020-04-13,-0.003602360123634565,0.9989077322360098
2020-04-14,0.02157247426687637,0.999247357235639
2020-04-15,-0.004256883659078322,0.9991949645827289
2020-04-16,-5.339568659258073E-4,0.9991989504993055
2020-04-17,0.0075216525496094675,0.9993190770222783
2020-04-20,0.005052460386622899,0.9994007517734795
2020-04-21,-0.014427050225316231,0.9992046533384376
2020-04-22,0.006691566831262461,0.9993082559810001
2020-04-23,-0.003738919716837789,0.999266450951111
2020-04-24,-0.009019161998160595,0.9991540227504402
2020-04-27,-3.3534681224682794E-4,0.9991608294402872
2020-04-28,0.009496969012074526,0.9992961417951287
2020-04-29,0.003928646110688007,0.9993561669715952
2020-04-30,0.021364761897002513,0.99963530530871
2020-05-06,0.015196308063266318,0.9998307817428642
2020-05-07,-0.0024305141602982655,0.9998024839317268
2020-05-08,0.014549179723035783,0.9999832286560333
2020-05-11,0.004656814388838023,1.0000400924466175
2020-05-12,0.002707802843467383,1.0000721912571189
2020-05-13,0.004557995174582639,1.0001254756933506
2020-05-14,-0.0115778951425057,0.999986986628297
2020-05-15,-3.3486473451480904E-4,0.9999832435752005
2020-05-18,-0.003943375312518677,0.9999380222020361
2020-05-19,0.013307615764261255,1.000088954089407
2020-05-20,-0.003458249644657519,1.0000490278143164
2020-05-21,-0.010932650739457551,0.9999263417926335
2020-05-22,-0.022293297050309198,0.9996794466466358
2020-05-25,-0.001479366422299346,0.9996668436257802
2020-05-26,0.012106373781323086,0.9997997854706064
2020-05-27,-0.012419647209440499,0.9996689991431139
2020-05-28,-3.666665135205941E-4,0.9996686237085225
2020-05-29,0.002163227147590759,0.9996945771293029
2020-06-01,0.03609177374353281,1.000063204579999
2020-06-02,0.005198740570096687,1.0001154752819728
2020-06-03,-0.003795940785422092,1.000075889350545
2020-06-04,0.003066304097793211,1.0001057493232022
2020-06-05,0.002329491810984946,1.000127742375837
2020-06-08,0.010577458456815365,1.0002296642558843
2020-06-09,0.004138081530404368,1.0002675368272316
2020-06-10,-9.214761039138311E-4,1.0002560972755457
2020-06-11,-0.012952723559291139,1.0001294690014368
2020-06-12,4.4469488862795836E-4,1.0001324423664264
2020-06-15,-0.012932025637407875,1.0000095476063213
2020-06-16,0.019143277184803874,1.0001850535928318
2020-06-17,-3.3438579130592746E-5,1.000183048860525
2020-06-18,0.009320851810252363,1.0002657460371267
2020-06-19,0.011882027450664157,1.0003697996295173
2020-06-22,0.0020486063185380663,1.0003847765236644
2020-06-23,0.00353329734431545,1.000412596171598
2020-06-24,0.00737074634900737,1.0004734231422525
2020-06-29,-0.0021226094015713197,1.0004508198629853
2020-06-30,0.015194102526599482,1.00057699769024
2020-07-01,0.030834164252650714,1.000831805351911
2020-07-02,0.026266890651498186,1.001044686090432
2020-07-03,0.020047283554036836,1.0012028875564485
2020-07-06,0.05386004363443222,1.0016306384701688
2020-07-07,0.014686642428576079,1.0017378478880148
2020-07-08,0.012629934848342473,1.0018266493390589
2020-07-09,0.016876473147989,1.001948103051762
2020-07-10,-0.021361688955787567,1.001757917740213
2020-07-13,0.02566025108883068,1.0019469086071862
2020-07-14,-0.014006022899017471,1.001819287397307
2020-07-15,-0.012228527294422304,1.0017078980267802
2020-07-16,-0.04692556790388038,1.0013184915751663
2020-07-17,0.005265574423376482,1.0013490294342922
2020-07-20,0.04000518095912313,1.0016408309618487
2020-07-21,0.003001727805544021,1.0016512124902823
2020-07-22,0.0037591019483677306,1.0016671646978237
2020-07-23,-0.004795930726548059,1.0016184137293878
2020-07-24,-0.04655351126276387,1.0012500572107117
2020-07-27,0.0017683073817579614,1.001253895115055
2020-07-28,0.009883358651047985,1.001317077172
2020-07-29,0.024804026907132702,1.0014865493742986
2020-07-30,-0.011065469170506001,1.0013950220954588
2020-07-31,0.004865901243219089,1.0014199495848548
2020-08-03,0.028522115230717623,1.0016109814332579
2020-08-04,-0.006950151279025785,1.0015500050617603
2020-08-05,-0.002285956680162198,1.0015229397481156
2020-08-06,0.001490038552687738,1.001522709666073
2020-08-07,-0.006774533953905563,1.0014648515844182
2020-08-10,0.009598132278670434,1.00152071818868
2020-08-11,-0.01106258983584027,1.0014339888889279
2020-08-12,-0.011637415786707246,1.0013444863388878
2020-08-13,-0.002106594898710997,1.0013211282199603
2020-08-14,0.02219243278248094,1.0014597738068092
2020-08-17,0.032192003104006724,1.0016615948936618
2020-08-18,-0.0018683416237213295,1.0016381768160234
2020-08-19,-0.0124528100993842,1.0015448190486453
2020-08-20,-0.017917406970360802,1.0014163710180963
2020-08-21,0.011321347221423524,1.001480375088927
